"","Month","Series_ID","Title","Employed"
"40649",2015 Aug,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",449.7
"40650",2015 Sep,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",448.6
"40651",2015 Oct,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",451.4
"40652",2015 Nov,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",454.1
"40653",2015 Dec,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",454.6
"40654",2016 Jan,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",450
"40655",2016 Feb,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",447.6
"40656",2016 Mar,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",448.5
"40657",2016 Apr,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",448.4
"40658",2016 May,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",449.1
"40659",2016 Jun,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",449.9
"40660",2016 Jul,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",448.1
"40661",2016 Aug,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",446.3
"40662",2016 Sep,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",445.8
"40663",2016 Oct,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",445.4
"40664",2016 Nov,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",446.2
"40665",2016 Dec,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",446.3
"40666",2017 Jan,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",441.4
"40667",2017 Feb,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",440.4
"40668",2017 Mar,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",442.1
"40669",2017 Apr,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",440.2
"40670",2017 May,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",439.3
"40671",2017 Jun,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",442.4
"40672",2017 Jul,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",442.4
"40673",2017 Aug,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",441.6
"40674",2017 Sep,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",437.8
"40675",2017 Oct,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",438.8
"40676",2017 Nov,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",438.3
"40677",2017 Dec,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",437.6
"40678",2018 Jan,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",431.5
"40679",2018 Feb,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",432.7
"40680",2018 Mar,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",432.5
"40681",2018 Apr,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",430.2
"40682",2018 May,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",431
"40683",2018 Jun,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",432.6
"40684",2018 Jul,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",432.1
"40685",2018 Aug,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",431.3
"40686",2018 Sep,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",430.3
"40687",2018 Oct,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",429.5
"40688",2018 Nov,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",429.4
"40689",2018 Dec,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",427.8
"40690",2019 Jan,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",422.4
"40691",2019 Feb,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",420.6
"40692",2019 Mar,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",420.8
"40693",2019 Apr,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",418.9
"40694",2019 May,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",419.7
"40695",2019 Jun,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",422.3
"40696",2019 Jul,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",422
"40697",2019 Aug,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",421.6
"40698",2019 Sep,"CEU3232300001","Nondurable Goods: Printing and Related Support Activities",419.8
"40699",1939 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40700",1939 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40701",1939 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40702",1939 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40703",1939 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40704",1939 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40705",1939 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40706",1939 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40707",1939 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40708",1939 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40709",1939 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40710",1939 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40711",1940 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40712",1940 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40713",1940 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40714",1940 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40715",1940 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40716",1940 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40717",1940 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40718",1940 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40719",1940 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40720",1940 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40721",1940 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40722",1940 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40723",1941 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40724",1941 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40725",1941 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40726",1941 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40727",1941 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40728",1941 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40729",1941 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40730",1941 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40731",1941 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40732",1941 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40733",1941 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40734",1941 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40735",1942 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40736",1942 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40737",1942 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40738",1942 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40739",1942 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40740",1942 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40741",1942 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40742",1942 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40743",1942 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40744",1942 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40745",1942 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40746",1942 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40747",1943 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40748",1943 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40749",1943 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40750",1943 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40751",1943 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40752",1943 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40753",1943 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40754",1943 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40755",1943 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40756",1943 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40757",1943 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40758",1943 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40759",1944 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40760",1944 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40761",1944 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40762",1944 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40763",1944 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40764",1944 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40765",1944 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40766",1944 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40767",1944 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40768",1944 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40769",1944 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40770",1944 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40771",1945 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40772",1945 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40773",1945 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40774",1945 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40775",1945 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40776",1945 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40777",1945 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40778",1945 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40779",1945 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40780",1945 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40781",1945 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40782",1945 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40783",1946 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40784",1946 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40785",1946 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40786",1946 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40787",1946 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40788",1946 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40789",1946 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40790",1946 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40791",1946 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40792",1946 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40793",1946 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40794",1946 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40795",1947 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40796",1947 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40797",1947 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40798",1947 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40799",1947 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40800",1947 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40801",1947 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40802",1947 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40803",1947 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40804",1947 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40805",1947 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40806",1947 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40807",1948 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40808",1948 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40809",1948 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40810",1948 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40811",1948 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40812",1948 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40813",1948 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40814",1948 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40815",1948 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40816",1948 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40817",1948 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40818",1948 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40819",1949 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40820",1949 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40821",1949 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40822",1949 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40823",1949 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40824",1949 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40825",1949 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40826",1949 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40827",1949 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40828",1949 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40829",1949 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40830",1949 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40831",1950 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40832",1950 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40833",1950 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40834",1950 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40835",1950 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40836",1950 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40837",1950 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40838",1950 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40839",1950 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40840",1950 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40841",1950 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40842",1950 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40843",1951 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40844",1951 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40845",1951 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40846",1951 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40847",1951 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40848",1951 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40849",1951 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40850",1951 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40851",1951 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40852",1951 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40853",1951 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40854",1951 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40855",1952 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40856",1952 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40857",1952 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40858",1952 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40859",1952 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40860",1952 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40861",1952 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40862",1952 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40863",1952 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40864",1952 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40865",1952 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40866",1952 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40867",1953 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40868",1953 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40869",1953 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40870",1953 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40871",1953 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40872",1953 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40873",1953 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40874",1953 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40875",1953 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40876",1953 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40877",1953 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40878",1953 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40879",1954 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40880",1954 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40881",1954 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40882",1954 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40883",1954 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40884",1954 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40885",1954 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40886",1954 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40887",1954 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40888",1954 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40889",1954 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40890",1954 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40891",1955 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40892",1955 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40893",1955 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40894",1955 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40895",1955 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40896",1955 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40897",1955 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40898",1955 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40899",1955 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40900",1955 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40901",1955 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40902",1955 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40903",1956 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40904",1956 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40905",1956 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40906",1956 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40907",1956 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40908",1956 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40909",1956 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40910",1956 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40911",1956 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40912",1956 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40913",1956 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40914",1956 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40915",1957 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40916",1957 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40917",1957 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40918",1957 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40919",1957 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40920",1957 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40921",1957 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40922",1957 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40923",1957 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40924",1957 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40925",1957 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40926",1957 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40927",1958 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40928",1958 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40929",1958 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40930",1958 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40931",1958 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40932",1958 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40933",1958 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40934",1958 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40935",1958 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40936",1958 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40937",1958 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40938",1958 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40939",1959 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40940",1959 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40941",1959 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40942",1959 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40943",1959 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40944",1959 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40945",1959 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40946",1959 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40947",1959 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40948",1959 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40949",1959 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40950",1959 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40951",1960 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40952",1960 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40953",1960 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40954",1960 Apr,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40955",1960 May,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40956",1960 Jun,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40957",1960 Jul,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40958",1960 Aug,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40959",1960 Sep,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40960",1960 Oct,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40961",1960 Nov,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40962",1960 Dec,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40963",1961 Jan,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40964",1961 Feb,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
"40965",1961 Mar,"CEU3232400001","Nondurable Goods: Petroleum and Coal Products",NA
